Release,USB Tracks,DB Rows,USB Tracks Matched,Missing from DB,DB Files Existing,Unmatched DB Rows,Coverage,Removal Status
(2025) Classic Classic,37,0,0,37,0,0,No DB rows,KEEP ON USB
[2007] Dessous Recordings Best Kept Secrets,22,22,22,0,0,0,All USB tracks in DB,KEEP ON USB
[2008] Cosmic Balearic Beats Vol. 1,17,17,17,0,0,0,All USB tracks in DB,KEEP ON USB
[2009] Cosmic Balearic Beats Vol. 2,16,16,15,1,0,1,Partial DB coverage,KEEP ON USB
[2012] Paper Cuts #1,22,44,21,1,0,2,Partial DB coverage,KEEP ON USB
[2013] Dessous Recordings Summer Grooves,12,12,12,0,0,0,All USB tracks in DB,KEEP ON USB
[2013] The Pink Collection,13,13,13,0,0,0,All USB tracks in DB,KEEP ON USB
[2014] Paper Cuts #2,16,0,0,16,0,0,No DB rows,KEEP ON USB
[2014] Sunday Paper,16,0,0,16,0,0,No DB rows,KEEP ON USB
[2015] 20 20 Sounds Like Summer,12,0,0,12,0,0,No DB rows,KEEP ON USB
[2015] Best Of 2015,10,10,10,0,0,0,All USB tracks in DB,KEEP ON USB
[2015] Dessous Recordings Summer Grooves 3,10,10,10,0,0,0,All USB tracks in DB,KEEP ON USB
[2016] Delusions 50: Part One,3,0,0,3,0,0,No DB rows,KEEP ON USB
[2016] Delusions 50: Part Two,4,0,0,4,0,0,No DB rows,KEEP ON USB
[2016] Paper Cuts #3,26,1,0,26,0,1,Partial DB coverage,KEEP ON USB
[2016] The Yellow Collection,13,13,13,0,0,0,All USB tracks in DB,KEEP ON USB
[2017] Dessous Summer Grooves 5,9,9,9,0,0,0,All USB tracks in DB,KEEP ON USB
"[2017] Sunday Papers, Vol. 3",14,0,0,14,0,0,No DB rows,KEEP ON USB
[2018] Paper Cuts #4,22,0,0,22,0,0,No DB rows,KEEP ON USB
"[2019] 25 Years of Paper, Pt. 1 by Crazy P",13,0,0,13,0,0,No DB rows,KEEP ON USB
"[2019] 25 Years of Paper, Pt. 2 by Flash Atkins",18,0,0,18,0,0,No DB rows,KEEP ON USB
[2020] Moodfamily Compilation I,10,0,0,10,0,0,No DB rows,KEEP ON USB
[2021] Paper Cuts #5,12,12,12,0,0,0,All USB tracks in DB,KEEP ON USB
[2022] Eskimo Recordings presents The Remixes,24,24,24,0,0,0,All USB tracks in DB,KEEP ON USB
"[2023] Paper Cuts, Vol. 6",15,0,0,15,0,0,No DB rows,KEEP ON USB
[2024] Paper Cuts #7,21,0,0,21,0,0,No DB rows,KEEP ON USB
"[2024] The Wild Army, Vol. 8",4,0,0,4,0,0,No DB rows,KEEP ON USB
[2025] 20 20 Vision – Full Circle Vol. One,3,0,0,3,0,0,No DB rows,KEEP ON USB
[2026] Lebanese Blonde,2,2,2,0,0,0,All USB tracks in DB,KEEP ON USB
[2026] The Wild Army - The Best BIts,16,0,0,16,0,0,No DB rows,KEEP ON USB
[CAP030] VA - 5 Years of Calls and Puts Records,20,0,0,20,0,0,No DB rows,KEEP ON USB
[CMCD122C] VA - Unfinished Business Volume 2 compiled & mixed by Luke Solomon,32,0,0,32,0,0,No DB rows,KEEP ON USB
[DESCD02X] VA - Erotic Moments in House,11,0,0,11,0,0,No DB rows,KEEP ON USB
"[DESCD07X] VA - Erotic Moments in House, Vol. 02",25,0,0,25,0,0,No DB rows,KEEP ON USB
"[DESCD08X] VA - Erotic Moments in House, Vol. 03",29,0,0,29,0,0,No DB rows,KEEP ON USB
"[DESCD17] VA - Dessous Recordings Best Kept Secrets, Vol. 3",23,0,0,23,0,0,No DB rows,KEEP ON USB
[DESDD01X] VA - Dessous Classics (The Best Of 10 Years Dessous Recordings),19,0,0,19,0,0,No DB rows,KEEP ON USB
[DESDD09] VA - Dessous Classics (The Classic Remixes),17,0,0,17,0,0,No DB rows,KEEP ON USB
