Release,Track #,Artist,Title,ISRC,DB Status,Match Method,DB Matches,DB File Exists,USB Filename,DB Path(s)
(2025) Classic Classic,01/40,Blaze,Lovelee Dae (Beloved Vocal Rmx),GBCPZ1104909,Missing from DB,,0,No,Blaze – (2025) Classic Classic – 01 Lovelee Dae (Beloved Vocal Rmx).flac,
(2025) Classic Classic,02/40,Honey Dijon & Hadiya George,Not About You feat. Hadiya George (Extended Mix),GBCPZ2017929,Missing from DB,,0,No,Honey Dijon – (2025) Classic Classic – 02 Not About You (Extended Mix).flac,
(2025) Classic Classic,03/40,"Luke Solomon, Amy Douglas & Queen Rose",Light You Up feat. Queen Rose feat. Amy Douglas (Louie Vega Roots Mix),GBCPZ1813628,Missing from DB,,0,No,Luke Solomon – (2025) Classic Classic – 03 Light You Up (Louie Vega Roots Mix).flac,
(2025) Classic Classic,04/40,Isolee,Beau Mot Plage (Freeform Reform Pts. 1 & 2),GBCPZ1004570,Missing from DB,,0,No,Isolée – (2025) Classic Classic – 04 Beau Mot Plage (Freeform Reform Pts. 1 & 2).flac,
(2025) Classic Classic,05/40,Iz & Diz & Diz,Mouth (Brad Peep's Remix For Friends),GBCPZ1004517,Missing from DB,,0,No,Iz & Diz – (2025) Classic Classic – 05 Mouth (Brad Peep's Remix For Friends).flac,
(2025) Classic Classic,07/40,Red Rack'em,Wonky Bassline Disco Banger (Original Mix),GBCPZ1609658,Missing from DB,,0,No,Red Rack'em – (2025) Classic Classic – 07 Wonky Bassline Disco Banger.flac,
(2025) Classic Classic,09/40,Seven Davis Jr.,One (Live Edit),GBCPZ1407830,Missing from DB,,0,No,Seven Davis Jr – (2025) Classic Classic – 09 One (Live Edit).flac,
(2025) Classic Classic,10/40,Eli Escobar,"Happiness, Pt. 2 (Original Mix)",GBCPZ1609560,Missing from DB,,0,No,"Eli Escobar – (2025) Classic Classic – 10 Happiness, Pt. 2.flac",
(2025) Classic Classic,11/40,Roy Davis Jr.,About Love (Solid Groove Remix),GBCPZ1004696,Missing from DB,,0,No,Roy Davis Jr – (2025) Classic Classic – 11 About Love (Solid Groove Remix).flac,
(2025) Classic Classic,12/40,Dam Swindle,Hey Mister (Extended Mix),GBCPZ1916361,Missing from DB,,0,No,Dam Swindle – (2025) Classic Classic – 12 Hey Mister (Extended Mix).flac,
(2025) Classic Classic,13/40,Floorplan,We Give Thee Honor (Extended Mix),GBCPZ2221514,Missing from DB,,0,No,Floorplan – (2025) Classic Classic – 13 We Give Thee Honor (Extended Mix).flac,
(2025) Classic Classic,14/40,Girls of the Internet,When U Go (Original Mix),GBCPZ1711211,Missing from DB,,0,No,Girls Of The Internet – (2025) Classic Classic – 14 When U Go.flac,
(2025) Classic Classic,15/40,Folamour,Devoted To U (Extended Mix),GBCPZ1712471,Missing from DB,,0,No,Folamour – (2025) Classic Classic – 15 Devoted To U (Extended Mix).flac,
(2025) Classic Classic,16/40,Kenny Hawkes & Louise Carver,Play The Game (Space Children Extended Love Mix),GBCPZ1815025,Missing from DB,,0,No,Kenny Hawkes – (2025) Classic Classic – 16 Play The Game (Space Children Extended Love Mix).flac,
