title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
Stanza,Mugwump,"Cosmic Balearic Beats Volume 2",BEN580900261,beatport,954656,423,,,https://beatport.com/track/stanza/954656
"No Way Back - The Revenge Remix","Danced Til Midnight","Bergliebe Deluxe 2016",UKA6R1600006,beatport,11273343,568,,,https://beatport.com/track/no-way-back/11273343
"Honey Boy feat. Nile Rodgers, Shenseea","Nile Rodgers, Purple Disco Machine, Shenseea, Benjamin Ingrosso",Paradise,DEE862400579,beatport,19474099,227,,,https://beatport.com/track/honey-boy-feat-nile-rodgers-shenseea/19474099
"Dub Praise - The Revenge Remix","JC Freaks","Dub Praise",GB2DZ0900022,beatport,902365,402,,,https://beatport.com/track/dub-praise/902365
"Take Me Home",Antenna,"From Kazan With Love",BEN581700812,beatport,10700534,395,,,https://beatport.com/track/take-me-home/10700534
"Silver Lines - Extended Mix",Sinca,"Silver Lines",CH3132419574,beatport,20003095,343,,,https://beatport.com/track/silver-lines/20003095
Rafat,Ninetoes,"Rafat / Dunya",DEEC33502473,beatport,28297047,327,,,https://beatport.com/track/rafat/28297047
"WHAT!  - Extended Mix","Bonafique, Yuvèe",WHAT!,DEBE72600016,beatport,23103642,393,,,https://beatport.com/track/what/23103642
"Give It Up - 2014 Remasters - Reset Vocal Mix","Crazy Penis","Give It Up - 2014 Vocal Remasters",GBEYE1400102,beatport,5863367,387,,,https://beatport.com/track/give-it-up-2014-remasters/5863367
Lungs,"Emmit Fenn",Lungs,NL3M12602917,beatport,28744463,200,,,https://beatport.com/track/lungs/28744463
Control,"Emmit Fenn","The Last Dance",TCAED1972458,beatport,23216235,170,,,https://beatport.com/track/control/23216235
"Waste Of Space",Copycat,"The Pink Collection",BEN581300265,beatport,4581838,466,,,https://beatport.com/track/waste-of-space/4581838
"Brother John","Laurence Guy, J. Peacock","Too Far To Come Back",UKN6K2401763,beatport,19684900,253,,,https://beatport.com/track/brother-john/19684900
Olivia,"Satin Jackets","The Pink Collection",BEN581300258,beatport,4581828,458,,,https://beatport.com/track/olivia/4581828
"We Are Your Friends - Lee Cabrera' s ""Lower East Side"" Remix","Justice, Simian","We Are Your Friends",GBAAA0600211,beatport,17302686,330,,,https://beatport.com/track/we-are-your-friends/17302686
"Real Slow - Plastic Plates Remix","Miami Horror","Real Slow - Remixes",GBKPL1366170,beatport,16453578,293,,,https://beatport.com/track/real-slow/16453578
"I Was Made for Loving You - Radio Version","Drop Out Orchestra, Nancy Whang","I Was Made for Loving You",DEBY40601331,beatport,5690726,241,,,https://beatport.com/track/i-was-made-for-loving-you/5690726
"Audacity Of Huge feat. Chris Keating - Album Version","Simian Mobile Disco","Audacity Of Huge",GBDNH0900071,beatport,860736,228,,,https://beatport.com/track/audacity-of-huge-feat-chris-keating/860736
"Smalltown Boy (Extended) - Extended","The Knocks, Perfume Genius, Bronski Beat","Smalltown Boy (Extended) (feat. Perfume Genius)",GBAAP2400368,beatport,19452641,406,,,https://beatport.com/track/smalltown-boy-extended/19452641
Topdown,"Channel Tres","Channel Tres",QM38F1800013,beatport,16186970,230,,,https://beatport.com/track/topdown/16186970
